iter	RMSE
0	0.9652805671
1	0.9343665945
2	0.9070632644
3	0.8823672851
4	0.8593557343
5	0.8388737397
6	0.8196391677
7	0.8020106354
8	0.7859161269
9	0.7722846542
10	0.7604238377
11	0.7490303568
12	0.7390878534
13	0.7293641679
14	0.7205937725
15	0.7126471214
16	0.7057093488
17	0.6996283624
18	0.693306237
19	0.6872977329
20	0.6819950207
21	0.6773314332
22	0.673293586
23	0.6688924038
24	0.6652418161
25	0.662225825
26	0.6588232543
27	0.6560132876
28	0.6527510288
29	0.6502911213
30	0.6482336476
31	0.6459991578
32	0.6434182615
33	0.6412462451
34	0.6394998788
35	0.6377930477
36	0.6361349773
37	0.6345775834
38	0.6330808398
39	0.6313663834
40	0.6288782136
41	0.6278379381
42	0.6266842445
43	0.6252846452
44	0.6243492738
45	0.6233576139
46	0.6213970786
47	0.6205952258
48	0.6194390822
49	0.6173992872
50	0.6165223735
51	0.61457794
52	0.6138610619
53	0.6129793801
54	0.6121875221
55	0.6114960857
56	0.6108654026
57	0.6100756438
58	0.6083742603
59	0.6068108693
60	0.6057483773
61	0.6052330286
62	0.6045609507
63	0.6035133009
64	0.6021626918
65	0.6013235791
66	0.6001794115
67	0.5998107941
68	0.5992763264
69	0.5985823275
70	0.5979822589
71	0.5975527921
72	0.596967606
73	0.5960755027
74	0.5951791974
75	0.5946643616
76	0.593344302
77	0.5928229211
78	0.5916870891
79	0.5911130236
80	0.5908086292
81	0.5903060035
82	0.5898382595
83	0.589230161
84	0.5889433151
85	0.5882574986
86	0.5875720727
87	0.5869257925
88	0.5866219195
89	0.5862806591
90	0.5847102324
91	0.5841556591
92	0.5835693257
93	0.5831705468
94	0.5826244803
95	0.5821630329
96	0.5806641033
97	0.5798001748
98	0.5792444259
99	0.5785231969
100	0.5781222922
101	0.5775347392
102	0.5770854562
103	0.5764343955
104	0.5760192737
105	0.5757337405
106	0.5749004688
107	0.5738966943
108	0.573265613
109	0.5727863541
110	0.5723066788
111	0.5719492579
112	0.5715652443
113	0.571338182
114	0.5710633957
115	0.5706877397
116	0.5702007236
117	0.5699010205
118	0.5693533877
119	0.5689404447
120	0.5686401002
121	0.5683415956
122	0.5677725873
123	0.5674936884
124	0.5672254997
125	0.5667528677
126	0.5664932268
127	0.5660581653
128	0.5657767729
129	0.5654886344
130	0.5650361294
131	0.5644646375
132	0.5642492694
133	0.5638485558
134	0.5633863053
135	0.5630488562
136	0.5627146252
137	0.5620366531
138	0.5617606416
139	0.5616351524
140	0.560588344
141	0.5598401592
142	0.559524256
143	0.5591525649
144	0.5587989216
145	0.5584697549
146	0.55818985
147	0.557884691
