iter	Passed	Remaining
0	6	6836
1	10	5192
2	13	4598
3	17	4359
4	20	4115
5	23	3940
6	27	3834
7	30	3736
8	33	3672
9	36	3608
10	39	3542
11	42	3496
12	45	3472
13	49	3517
14	53	3538
15	57	3561
16	61	3557
17	65	3564
18	69	3570
19	73	3591
20	77	3600
21	81	3606
22	85	3611
23	88	3611
24	93	3631
25	96	3626
26	100	3609
27	104	3624
28	108	3637
29	112	3627
30	115	3612
31	118	3598
32	122	3586
33	126	3589
34	130	3588
35	133	3585
36	137	3571
37	141	3569
38	145	3577
39	148	3555
40	151	3538
41	154	3524
42	157	3499
43	160	3478
44	162	3457
45	165	3437
46	168	3414
47	171	3396
48	174	3378
49	176	3358
50	179	3344
51	182	3328
52	185	3309
53	188	3308
54	192	3305
55	195	3298
56	199	3297
57	203	3299
58	206	3299
59	210	3303
60	214	3308
61	218	3310
62	222	3307
63	226	3307
64	229	3306
65	233	3311
66	237	3305
67	241	3305
68	244	3301
69	248	3307
70	252	3305
71	256	3301
72	259	3299
73	262	3288
74	266	3283
75	269	3279
76	273	3276
77	276	3270
78	279	3263
79	283	3262
80	286	3256
81	290	3253
82	294	3249
83	297	3245
84	300	3238
85	304	3231
86	307	3225
87	310	3219
88	313	3213
89	317	3209
90	320	3203
91	324	3199
92	327	3191
93	330	3181
94	332	3167
95	335	3161
96	338	3155
97	342	3151
98	345	3146
99	349	3141
100	351	3132
101	354	3124
102	357	3115
103	360	3105
104	363	3097
105	367	3099
106	370	3091
107	373	3085
108	376	3076
109	379	3069
110	382	3060
111	385	3052
112	387	3045
113	390	3034
114	393	3026
115	396	3018
116	398	3009
117	401	3002
118	404	2996
119	407	2988
120	410	2979
121	413	2974
122	416	2971
123	419	2963
124	422	2955
125	424	2947
126	428	2946
127	431	2938
128	434	2930
129	436	2924
130	439	2915
131	442	2908
132	445	2902
133	448	2895
134	451	2890
135	453	2884
136	456	2878
137	459	2872
138	463	2867
139	467	2869
140	472	2877
141	476	2876
142	481	2887
143	485	2885
144	489	2883
145	492	2882
146	496	2879
147	499	2877
148	503	2873
149	506	2870
150	510	2867
151	513	2865
152	516	2858
153	519	2853
154	522	2849
155	526	2846
156	530	2846
157	533	2844
158	537	2843
159	541	2840
160	544	2838
161	548	2839
162	553	2842
163	556	2838
164	560	2835
165	563	2830
166	566	2825
167	570	2824
168	573	2820
169	577	2818
170	580	2815
171	584	2814
172	587	2810
173	591	2806
174	594	2801
175	597	2797
176	600	2792
177	604	2791
178	608	2788
179	611	2784
180	614	2781
181	618	2778
182	621	2774
183	624	2769
184	627	2763
185	630	2758
186	633	2752
187	635	2746
188	638	2741
189	641	2736
190	645	2734
191	649	2733
192	652	2727
193	655	2722
194	658	2718
195	661	2714
196	664	2709
197	668	2706
198	671	2702
199	674	2698
200	677	2694
201	681	2690
202	684	2687
203	688	2686
204	691	2683
205	695	2680
206	698	2677
207	702	2674
208	705	2671
209	709	2668
210	712	2664
211	715	2660
212	719	2657
213	722	2655
214	726	2652
215	729	2649
216	733	2645
217	736	2642
218	739	2638
219	743	2634
220	746	2631
221	750	2628
222	753	2624
223	756	2622
224	760	2618
225	763	2615
226	767	2612
227	770	2608
228	774	2606
229	777	2602
230	781	2600
231	784	2597
232	787	2593
233	792	2592
234	795	2591
235	799	2587
236	802	2584
237	806	2581
238	809	2578
239	813	2575
240	816	2572
241	820	2570
242	824	2567
243	827	2564
244	831	2561
245	834	2557
246	837	2554
247	841	2551
248	844	2547
249	847	2542
250	850	2538
251	854	2535
252	857	2533
253	861	2529
254	864	2526
255	868	2524
256	872	2521
257	875	2518
258	879	2515
259	882	2511
260	885	2508
261	889	2506
262	893	2502
263	896	2499
264	900	2496
265	903	2493
266	906	2489
267	910	2487
268	914	2483
269	917	2480
270	920	2476
271	924	2473
272	927	2469
273	930	2464
274	933	2460
275	936	2456
276	940	2454
277	943	2450
278	947	2447
279	950	2444
280	953	2440
281	957	2437
282	960	2434
283	964	2432
284	968	2429
285	971	2426
286	975	2422
287	977	2417
288	980	2412
289	983	2408
290	987	2405
